date,symbol,price,signal
2016-11-14,AAPL,24.415912628173828,BUY
2017-01-09,AAPL,27.48320198059082,SELL
2018-02-02,AAPL,37.66692352294922,BUY
2018-05-09,AAPL,44.149837493896484,SELL
2018-11-20,AAPL,42.158103942871094,BUY
2019-03-21,AAPL,46.671356201171875,SELL
2019-05-31,AAPL,42.04326629638672,BUY
2019-10-21,AAPL,57.97822189331055,SELL
2020-02-27,AAPL,66.29061126708984,BUY
2020-06-05,AAPL,80.56021881103516,SELL
2021-02-25,AAPL,118.20233917236328,BUY
2021-06-30,AAPL,134.0316619873047,SELL
2022-09-30,AAPL,136.20677185058594,BUY
2022-10-25,AAPL,150.142822265625,SELL
2023-08-07,AAPL,177.0770721435547,BUY
2024-06-05,AAPL,194.95823669433594,SELL
2025-01-21,AAPL,222.10421752929688,BUY
2016-04-28,MSFT,44.16152572631836,BUY
2016-07-20,MSFT,49.826454162597656,SELL
2018-12-24,MSFT,88.38231658935547,BUY
2019-03-15,MSFT,109.29722595214844,SELL
2022-01-25,MSFT,280.12017822265625,BUY
2023-05-18,MSFT,313.6429748535156,SELL
2024-08-02,MSFT,405.3819580078125,BUY
2024-12-17,MSFT,452.7194519042969,SELL
2018-10-11,NVDA,5.824170112609863,BUY
2020-02-12,NVDA,6.78395938873291,SELL
2022-01-21,NVDA,23.331424713134766,BUY
2023-03-21,NVDA,26.180177688598633,SELL
2016-04-28,GOOGL,35.0428352355957,BUY
2016-07-29,GOOGL,39.331119537353516,SELL
2018-02-08,GOOGL,50.08512496948242,BUY
2018-06-18,GOOGL,58.826202392578125,SELL
2018-10-10,GOOGL,54.28245162963867,BUY
2019-03-20,GOOGL,60.95592498779297,SELL
2019-06-03,GOOGL,51.627376556396484,BUY
2019-07-26,GOOGL,61.889827728271484,SELL
2020-02-27,GOOGL,65.35553741455078,BUY
2020-08-26,GOOGL,81.71642303466797,SELL
2022-01-21,GOOGL,129.5744171142578,BUY
2024-01-24,GOOGL,147.81350708007812,SELL
2024-08-05,GOOGL,158.4822998046875,BUY
2024-11-07,GOOGL,180.11734008789062,SELL
2025-02-27,GOOGL,168.1026611328125,BUY
2016-05-12,TSLA,13.8186674118042,BUY
2017-01-06,TSLA,15.267333030700684,SELL
2017-11-02,TSLA,19.950666427612305,BUY
2018-02-05,TSLA,22.208667755126953,SELL
2018-09-07,TSLA,17.549333572387695,BUY
2018-09-12,TSLA,19.369333267211914,SELL
2020-03-16,TSLA,29.67133331298828,BUY
2020-06-08,TSLA,63.327999114990234,SELL
2021-03-05,TSLA,199.31666564941406,BUY
2021-10-14,TSLA,272.7733459472656,SELL
2022-05-12,TSLA,242.6666717529297,BUY
2022-07-21,TSLA,271.7066650390625,SELL
2023-08-17,TSLA,219.22000122070312,BUY
2024-07-03,TSLA,246.38999938964844,SELL
2025-02-25,TSLA,302.79998779296875,BUY
2025-05-13,TSLA,334.07000732421875,SELL
2021-03-04,PSNL,25.56999969482422,BUY
